num,title,question,figure,constraints,link,company,difficulty,topic,tags
1,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,Google,Hard,Sorting,Programming
2,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,Microsoft,Easy,Puzzle,Aptitude
3,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,Google,Medium,Binary Search,Programming
4,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,Google,Easy,Guesstimate,Case Study
5,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,Apple,Hard,Sorting,Programming
6,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,Microsoft,Easy,Figure,Aptitude
7,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,Microsoft,Medium,Array,Programming
8,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,Microsoft,Easy,Guesstimate,Case Study
9,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,Apple,Hard,Sorting,Programming
10,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,Apple,Easy,Puzzle,Aptitude
11,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,Apple,Medium,Binary Search,Programming
12,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,IBM,Easy,Guesstimate,Case Study
13,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,IBM,Hard,Array,Programming
14,Sample,"Taken from the Latin words ""dolorem ipsum"", which translates to ""pain itself"", Lorem Ipsum text saw a revival in the mid-20th century as placeholder text in printing and design.",no,These are few constraints,link,IBM,Easy,Figure,Aptitude
